Timestamp,Name,SSID,Radio type,Band,Receive rate (Mbps),Transmit rate (Mbps),Signal,Latitude,Longitude
2023-02-13 02:51:46,Wi-Fi,AudenBuffalo-401A,802.11ac,5 GHz,360,400,75%,44.933143,7.540121
2023-02-13 02:52:16,Wi-Fi,AudenBuffalo-401A,802.11ac,5 GHz,270,400,80%,44.933143,7.540121
2023-02-13 02:53:18,Wi-Fi,AudenBuffalo-401A,802.11ac,5 GHz,360,400,82%,44.933143,7.540121
2023-02-13 03:00:00,Wi-Fi,AudenBuffalo-401A,802.11ac,5 GHz,360,400,81%,44.933143,7.540121
2023-02-13 03:01:01,Wi-Fi,AudenBuffalo-401A,802.11ac,5 GHz,270,400,81%,44.933143,7.540121
2023-02-13 03:10:13,Wi-Fi,AudenBuffalo-401A,802.11ac,5 GHz,300,400,83%,44.933143,7.540121
2023-02-13 03:10:43,Wi-Fi,AudenBuffalo-401A,802.11ac,5 GHz,300,400,85%,44.933143,7.540121
2023-02-13 03:11:23,Wi-Fi,AudenBuffalo-401A,802.11ac,5 GHz,240,400,84%,44.933143,7.540121
2023-02-13 03:11:53,Wi-Fi,AudenBuffalo-401A,802.11ac,5 GHz,400,400,85%,44.933143,7.540121
2023-02-13 03:12:24,Wi-Fi,AudenBuffalo-401A,802.11ac,5 GHz,300,400,83%,44.933143,7.540121
